Condition,Model,Yoruba Proverb,Gold Translation,Generated Translation
ZeroShot,GPT,Ojú ò rọ́lá rí; ó bímọ ẹ̀ ó sọ ọ́ ní Ọláníyọnu.,A person only newly acquainted with wealth; he has a son and names him Ọlaniyọnu.,"The Yoruba proverb ""Ojú ò rọ́lá rí; ó bímọ ẹ̀ ó sọ ọ́ ní Ọláníyọnu"" translates to English as: ""The future is unpredictable; it gives birth to a child and names it 'Wealth is Worrisome.'"" This proverb suggests that the future is uncertain and can bring unexpected challenges or responsibilities, even when it seems promising."
ZeroShot,GPT,Ìwọ̀n eku nìwọ̀n ìtẹ́; olongo kì í gbé tìmùtìmù.,The measure of the rat is the measure of the nest; a robin does not live on a cushion.,"The Yoruba proverb ""Ìwọ̀n eku nìwọ̀n ìtẹ́; olongo kì í gbé tìmùtìmù"" can be translated into English as: ""The size of the rat determines the size of the trap; a wise person does not act recklessly."" This proverb emphasizes the importance of being cautious and acting according to the situation."
ZeroShot,GPT,"Ẹyẹ tó fi ara wé igún, ẹ̀hìn àdìrò ní ńsùn.",Whatever bird emulates the vulture will find itself behind the cooking hearth.,"The Yoruba proverb ""Ẹyẹ tó fi ara wé igún, ẹ̀hìn àdìrò ní ńsùn"" translates to ""The bird that compares itself to a vulture sleeps behind the kitchen"" in English. This proverb suggests that one should not compare themselves to others who are in a different situation or have different capabilities, as it may lead to unfavorable outcomes."
ZeroShot,GPT,Àwúrèbeé ní òún lè yẹ̀nà; ta ní jẹ́ tọ ọ̀nà àwúrèbe?,Àwúrebe says it can make a path; who would wish to follow a path it makes?,"The Yoruba proverb ""Àwúrèbeé ní òún lè yẹ̀nà; ta ní jẹ́ tọ ọ̀nà àwúrèbe?"" can be translated into English as: ""The trickster claims to know the way; who would dare follow the path of a trickster?"" This proverb suggests skepticism about following someone who is known for being deceitful or unreliable."
ZeroShot,GPT,"Má tẹ̀ẹ́ lọ́wọ́ oníle, má tẹ̀ẹ́ lọ́wọ́ àlejò; lọ́wọ́ ara ẹni la ti ńtẹ́.","Save face with members of your household and save face with complete strangers, such a person loses face with himself/herself.","The Yoruba proverb ""Má tẹ̀ẹ́ lọ́wọ́ oníle, má tẹ̀ẹ́ lọ́wọ́ àlejò; lọ́wọ́ ara ẹni la ti ńtẹ́"" translates to English as: ""Do not rely on the host, do not rely on the guest; it is one's own hand that one should rely on."" This proverb emphasizes the importance of self-reliance and not depending too much on others."
ZeroShot,GPT,Eégún ju eégún; òrìṣá ju òrìṣà; Pààká lé oníṣàngó wọ̀gbẹ́.,Some masqueraders are greater than others; some gods are greater than others; the masquerader Pààká chases the Ṣàngó worshipper into the bush.,"The Yoruba proverb ""Eégún ju eégún; òrìṣá ju òrìṣà; Pààká lé oníṣàngó wọ̀gbẹ́"" can be translated into English as: ""Masquerades surpass masquerades; deities surpass deities; the Pààká (a type of masquerade) outshines the Sango worshipper."" 

This proverb suggests that in any category or group, there are always individuals or entities that stand out or excel beyond others."
ZeroShot,GPT,"“Mo yó” ńjẹ́ “mo yó,” “mo kọ̀” ńjẹ́ “mo kọ̀”; jẹun ǹṣó, àgbà ọ̀kánjúwà ni.","“I am full” means “I am full”; “I decline” means “I decline”; eating with abandon, that is the father of all greediness.","The Yoruba proverb ""“Mo yó” ńjẹ́ “mo yó,” “mo kọ̀” ńjẹ́ “mo kọ̀”; jẹun ǹṣó, àgbà ọ̀kánjúwà ni."" can be translated into English as: ""“I am full” means “I am full,” “I am not full” means “I am not full”; eating secretly is the behavior of a greedy elder."" 

This proverb highlights the importance of honesty and transparency, especially in the context of contentment and satisfaction. It suggests that trying to hide one's true state or intentions, particularly when it comes to greed, is not a commendable trait."
ZeroShot,GPT,Àgbàlagbà kì í wẹwọ́ tán kó ní òun ó jẹ si.,An elder does not wash his hand and then decide to eat more.,"The Yoruba proverb ""Àgbàlagbà kì í wẹwọ́ tán kó ní òun ó jẹ si"" translates to ""An elder does not finish eating and say they will eat more"" in English. This proverb emphasizes the wisdom and contentment often associated with elders, suggesting that they know when to stop or have enough."
ZeroShot,GPT,Ẹni à bá tà ká fowó-o rẹ̀ ra àdá: ó ní ìyà àdá ńjẹ òun.,A person who should be sold for money to purchase a machete bemoans his lack of a machete.,"The Yoruba proverb ""Ẹni à bá tà ká fowó-o rẹ̀ ra àdá: ó ní ìyà àdá ńjẹ òun"" translates to English as: ""The person we sell and use the money to buy a machete says the machete is causing them suffering."" This proverb suggests that someone is complaining about a situation or consequence that they themselves have contributed to or brought upon themselves."
ZeroShot,GPT,"Kàkà ká dọ̀bálẹ̀ fún Gàm̀bàrí, ká rọ́jú ká kú.","Rather than prostrate oneself in homage or obeisance to a Hausa person, one should rather die.","The Yoruba proverb ""Kàkà ká dọ̀bálẹ̀ fún Gàm̀bàrí, ká rọ́jú ká kú"" translates to ""Instead of bowing down to Gàm̀bàrí, we would rather endure and die."" This proverb emphasizes the value of maintaining one's dignity and integrity, even in the face of hardship or adversity, rather than submitting to someone perceived as unworthy or oppressive."
ZeroShot,GPT,À-jẹ-ì-kúrò ní ńpa ẹmọ́n; à-jẹ-ì-kúrò ní ńpa àfè; à-jẹ-ì-kúrò ní ńpa máláàjú.,Feeding-without-leaving kills the Tullberg's rat; feeding-without-departing kills the spotted grass mouse; feeding-without-departing kills the máláàjú rat.,"The Yoruba proverb ""À-jẹ-ì-kúrò ní ńpa ẹmọ́n; à-jẹ-ì-kúrò ní ńpa àfè; à-jẹ-ì-kúrò ní ńpa máláàjú"" can be translated into English as: ""Inability to remove oneself from a situation is what kills the monkey; inability to remove oneself is what kills the fly; inability to remove oneself is what kills the antelope."" This proverb highlights the importance of knowing when to leave a situation to avoid negative consequences."
